date,id,link,local,text,title
 11/02/18 às 23h48,ID: 32983573,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/dei-sinal-mas-o-onibus-nao-parou_Kacp82a_cPNFqqPu/, São Paulo - SP,"No dia 04/02/2018, eu estava no ponto do ônibus, juntamente com vários outros usuários quando no ponto que fica na rua João Ventura dos Santos na Altura de 744; neste dia entre os horários de 11:00hs e 11:30 apareceu o onibus 462 sentido a cidade São Pedro, e neste instante dei um sinal para que o ônibus parasse, o ônibus chegou até o ponto, parou o motorista olhou para fora mas não abriu a porta e puxou o onibus para ir embora. Havia um senhor que juntamente comigo iria embarcar no ônibus que ficou inconformado com o ocorrido. Apos 30 minutos conseguimos embarcar em outro ônibus que vinha logo atrás. Quando chegamos no ponto do Tamboré, onde sempre fica um fiscal anotando os horários dos ônibus, pedi para ele informar o número do carro que veio na frente e contei o ocorrido, ele mandou eu me colocar no meu lugar e disse que ele tinha apenas que anotar os horarios dos ônibus e que se o motorista não parou deve ter sido pela minha aparência. Fiquei inconformada e muito nervosa.",Dei sinal mas o ônibus não parou
 11/02/18 às 15h57,ID: 32980053,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/390-nao-passa-durante-os-domingos_ezgFYvTCnADv3a-H/, Osasco - SP,Todos os sabados domingos e feriados os onibus nao passam no horario determinado. Hoje ja estou aqui no ponto ha 1 hora e 50 min e ainda não passou o 390 sentido Alphaville. É  um desrespeito pois outros estão aqui há mais tempo que eu. Estou próximo do ponto final mas simplesmente não há ônibus aqui embora o site informe que deveria estar saindo há mais de 1 hora atrás.Outra reclamação a ser feita é  sobre o sac.  Vcs divulgam um número que não existe. Ninguém nunca atende essa [editado pelo Reclame Aqui] ,390 não passa durante os domingos
 10/02/18 às 22h46,ID: 32975293,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/site-errado_TeEuAGQ_4LAQQ8DO/, Osasco - SP,"Entrei no site para verificar que horas o ônibus 390 passava em dia de sábado, e estava escrito que ele passava 19:20h, cheguei no ponto 19:00h. Fiquei desde as 19:00h até as 19:50, quando o ônibus passou, não é a primeira vez que o ônibus atrasa, e o site da emtu diz uma coisa e o ônibus não passa na hora certa.",Site errado
 10/02/18 às 20h46,ID: 32974381,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/cartao-bom-com-erro-304_WkiwR-ztX40o_4ZM/, Suzano - SP,"Boa tarde hoje dia 10/02. Fui passar nas catracas para pegar o trem da cptm, porém não passou, e fiquei muito constrangida. Tentei várias vezes passar nos terminais Fui até corinthians itaquera e não consegui resolver o meu problema. Gostaria de uma ajuda, pois meu cartão parou de funcionar do nada. Ele está bem conservado, o erro que apareceu foi 304.Obrigada",Cartão bom com erro 304
 10/02/18 às 14h14,ID: 32970159,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/a-emtu-dificulta-a-liberacao-do-passe-livre_juilVkj1HgMCdtxW/, São Bernardo do Campo - SP,"Para a liberaçao do passe livre tenho que enviar o documento do prouni e uma conta no meu nome e aguardar 20 dias uteis, fatoque me causa estranhesa ja que a faculdade envia meus dados para a empresa, como na sptrans que e so pagar a taxa e liberar o uso na maquininha.O fato e que apos eu pagar a taxa envio os documentos que tem que ser dimuniudos para que consiga fazer o uploud mas chega na empresa quem recebe nao consegue ler, reprova eu reenvio e novamente 20 dias uteis sao me dados.Enquanto isso nao consigo ir na faculdade pois nao tenho condiçoes de pagar conduçao.Porque nao posso entregar pessoalmente? Vou estourar em faltas por conta da dificuldade em enviar os documentos para a liberaçao do passe livre, isso e certo?Por favor me ajudem, preciso me formar!Thais Helena de CastroRG 264274696CPF 26267981851bilhete numero 310600840431-6",A EMTU DIFICULTA A LIBERAÇAO DO PASSE LIVRE
 10/02/18 às 08h09,ID: 32965403,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/tentativa-de-renovacao-do-passe-escolar_8ePBKqS31LxFlGk5/, Campinas - SP,"No dia 16/01/18 preenchi o protocolo de renovação do passe escolar virtualmente, porém eu havia mudado de endereço e acabei por preencher com o endereço antigo por força do hábito, porém não tinha mais nenhum comprovante de endereço (da forma que eles exigiam) para arquivar no processo. Tentei entrar em contato pelo 0800 724 05 55 e só dava ocupado e então no dia 19/01 sob protocolo 520886 consegui o primeiro contato que foi bem insatisfatório, porém segui as orientações. Foram recusados todos os documentos que apresentei.Tentei contato com a ouvidoria por mais quatro vezes e só obtive retorno muito insatisfatório, visto que fiz exatamente o que solicitaram e ainda não resolveram meu problema.19/01/18 - Protocolo 520886 - Resposta insatisfatória, pois solicitei a faculdade para alterar o endereço e mesmo assim continuam rejeitando 31/01/18 - Protocolo 523345 - Consta que o endereço cadastrado é um em que nunca morei na minha vida, foi novamente até a faculdade para alterar o endereço, porém já constava o endereço correto, mas ainda os documentos foram rejeitados.05/02/18 - Protocolo 524393 - Consta que o endereço cadastrado é um em que nunca morei na minha vida (novamente).Todas as vezes em que fiz o upload do documento de identidade, afirmaram que estava ilegível, porém já mandei no mínimo umas 6 vezes em diversos formatos e resoluções, mas ainda sim, eles retornam que está ilegível.",Tentativa de renovação do passe escolar
 09/02/18 às 22h17,ID: 32962861,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/ponto-de-onibus-do-condominio-eldorado_GS80AIeXRhiUDguE/, Jacareí - SP,"Agora a nossa situação piorou ainda mais, pois vcs cambadas de vagabundos ao invés de nos ajudar, torna a nossa vida ainda mais difícil. Como pode vcs mudar o ponto de ônibus do satélite que vem de jacareí para ainda mais longe. Se a nossa situação era ruim agora ficou pior. Vamos acionar os meios de comunicação para vejam o quanto vcs estão  são incompetentes e não pensam nem um pouco nos trabalhadores. É claro que o [editado pelo Reclame Aqui] que mudou o ponto de ônibus para ainda mais longe não utiliza ônibus. Muito inganda e revoltada com isso. Quero mostrar através dos meios de comunicação o descaso e a incompetência desta prefeitura horrivel, tem pessoas com crianças, idosos pessoas com deficiência fisica que tem que andar quase dois km, pq a prefeitura não é capaz de planejar e enxergar a necessidade da implantação de um ponto de onibus enfrente a portaria 1 do condomínio Eldorado",ponto de onibus do condominio Eldorado
 09/02/18 às 18h27,ID: 32958922,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/parque-paraiso-pinheiros_32958922/, Itapecerica da Serra - SP,"Ontem peguei a perua e a mesma fez roteiro errado, o motorista sergio entrou na rua de tras ao extra sendo que seu trajeto cotidiano e subir a av xv toda, o mesmo veio o caminho todo correndo ",Parque paraiso - pinheiros
 09/02/18 às 17h16,ID: 32957173,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/cartao-bom-passe-livre_VeXJ0rVzjiSbE0Nx/, São Paulo - SP,"Efetuei o pagamento da taxa anual (21,35), já foi confirmado e está aparecendo no site que está em análise de documentos previsto para validação em 03/02/18. Porém, minhas aulas já começaram e eu uso todos os dias só do bom 12,00, lembrando que sou estudante, ou seja, não trabalho e me falta condições de ir para a aula todos os dias. Por favor, estou matriculado, já efetuei o pagamento e preciso muito da validação do meu cartão.",CARTÃO BOM - PASSE LIVRE
 08/02/18 às 21h27,ID: 32936297,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/demora-de-revalidacao_LDMga9VonWXOcqfj/, Itapecerica da Serra - SP,"Fiz minha rematrícula na instituição de ensino Uninove Santo Amaro, e me garantiram que em até 5 dias eu teria meus dados atualizados para revalidar o meu passe escolar. Já se passaram mais de 11 dias desde que a empresa EMTU recebeu a minha requisição para atualizar meus dados, e até a presente data meu cpf consta como não cadastrado. Espero uma solução para resolver esse impasse.",Demora de revalidação
