date,id,link,local,text,title
 09/03/18 às 12h28,ID: 33638495,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/demora-na-liberacao-do-passe-livre_TQsxBt9BW81mszcG/, Embu - SP,"Apesar de ter direito ao Passe Livre, estou na luta com a empresa EMTU desde o dia 01/02/18 para liberar o beneficio. Já encaminhei a documentação três vezes, mas sempre invalidam, solicitando praticamente as mesmas coisas, já fiz três declarações de baixa renda, sendo que em duas delas eles me pediram para justificar de onde sai o dinheiro que pago a mensalidade, e na ultima ainda me pediram que enviasse o boleto da faculdade! Já mandei minha carteira de trabalho, o termo de estagio, as declarações conforme modelo, que diz que  em atendimento à Resolução STM-6, de 26 de fevereiro de 2015, concede a isenção integral do pagamento de tarifa aos estudantes que seenquadrem nas condições de família de baixa renda, 1,5 (um vírgula cinco) salário mínimo. Mas fazem o contrario prejudicando o aluno, estou me sentindo [editado pelo Reclame Aqui] nesta situação, preciso de providencias não da pra esperar este novo prazo de 15 dias, isto parece até descaso,",Demora na liberação do Passe Livre
 18/12/17 às 14h14,ID: 31385457,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/mau-atendimento-por-motorista_CGhcwQ-Q_R0boJms/, São Paulo - SP,"ONTEM DIA 17/12/2017,ESTÁVAMOS EU(GESTANTE DE 20 SEMANAS E 5 DIAS) E MINHA MÃE(UMA SENHORA DE 61 ANOS) NO PONTO FINAL AQUI DE SÃO PAULO AGUARDANDO Á MAIS OU MENOS 30/40MIN.ESTE ÔNIBUS ,QUANDO POR VOLTA DAS 17;15HS O MOTORISTA FOI VIRAR O ÔNIBUS NA RUA DE CIMA PARA VIR PARA O PONTO ONDE ESTÁVAMOS E ELE IA PASSANDO DIRETO NEM OLHOU NO PONTO EU E MINHA MÃE FICAMOS SEM REAÇÃO ,DO OUTRO LADO DA RUA DE FRENTE PARA ESTE PONTO Á UM BAR E ALGUNS SENHORES E RAPAZES BEM EDUCADOS ASSUBIARAM E GRITARAM QUE HAVIAM PASSAGEIROS NO PONTO E SE ELE NÃO ESTAVA MAIS OLHANDO OU PARANDO NO PONTO E O MOTORISTA MUITO GROSSO COMEÇOU A DISCUTIR COM ELES ,DAÍ SAÍMOS CORRENDO EU GRÁVIDA E MINHA MÃE ESTA SENHORA DE 61 ANOS...E DETALHE QUANDO ENTRAMOS NO ÔNIBUS NEM OLHOU PARA NOSSOS ROSTOS AO MENOS PARA NOS PEDIR DESCULPAS..EU QUE FALEI PARA ELE O SENHOR NÃO NOS VIU??ELE MUITO ALTERADO FALOU NÃO SE EU TIVESSE VISTO TERIA PARADO,DAÍ EU FALEI MAS O SENHOR TÊM QUE OLHAR E PARAR NO PONTO PARA VER SE HÁ PASSAGEIROS ,E ELE MUITO GROSSO E MAU EDUCADO ME RESPONDEU:EU NÃO TENHO OBRIGAÇÃO DE SABER QUE HÁ PASSAGEIROS NO PONTO ,VOCÊS QUE DEVERIAM DAR SINAL ,ENFIM DISCUTIMOS MUITO E PASSEI PELA CATRACA...MINHA MÃE SENTO-SE AO MEU LADO E EU CONVERSANDO COM ELA DISSE QUE IRIA RECLAMAR DELE PELO MAU ATENDIMENTO E PÉSSIMO PROFISSIONAL QUE ERA,ELE ME ENCARANDO PELO RETROVISOR AINDA NOS AMEAÇOU DIZENDO QUE SE EU CONTINUASSE A CAÇAR CONFUSÃO PARARIA O ÔNIBUS VOLTARIA PARA O PONTO FINAL E EU TERIA QUE DESCER..FUI PARAR NO HOSPITAL DE NERVOSO E COM DORES NA BARRIGA ,E JÁ ESTOU COM MEU ADVOGADO PARA SABER O QUE VOCÊS DESTA EMPRESA FARÃO PARA MELHORAR OS PÉSSIMOS PROFISSIONAIS QUE QUEIMAM OS ÓTIMOS PROFISSIONAIS ...ESTAREI NO AGUARDO DE UM RETORNO..ESTE MOTORISTA JÁ É UM SENHOR DE MAIS OU MENOS 45/50 ANOS ,RASPA A CABEÇA ,MAGRO E ALTO , E FOI POR VOLTA DAS 17;30HS DE ONTEM 17/12/2017 QUE UTILIZAMOS ESTÁ PÉSSIMA LINHA ....",MAU ATENDIMENTO POR MOTORISTA
 17/12/17 às 16h30,ID: 31356605,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/linha-342-sem-observancia-de-intervalos_Z5-Y8OB-LUr8EfLZ/, Guarulhos - SP,"Boa tarde! Já fiz outra reclamação no site da empresa e não tive nenhuma resposta por e-mail ou telefone, porém venho novamente pedir ajuda em relação ao itinerário citado. Não há fiscalização noturna no Terminal Armênia, não havendo controle algum dos horários de ônibus, ocasionando na falta de ônibus por VÁRIAS vezes. Ontem (16) cheguei 23:05 e precisei esperar até 23:55 para pegar o ônibus, pois o veículo das 23:30 não veio. A fila ficou enorme, e é injustificável, pois o ocorrido é recorrente. Quem é usuário dessa linha ja ficou várias vezes na mão, sem contar a qualidade dos ônibus, e o tamanho que em horário de pico é impossível dar um conforto pros usuários. Por favor, olhem com atenção para essa reclamação e ainda mais para essa linha, pois precisamos de mais ônibus no horário das 22-23h, pois muitos voltam pra casa nessa faixa, e ainda fiscalização no local, pois de nada adiantará colocar ônibus na rua se o motorista não cumprir com o trajeto. Tenho anotado outras vezes que a linha ficou sem onibus por uma hora. Apesar de qualquer resposta, é inaceitável um preço por ônibus ruim, sem comodidade, e ainda que não cumpre com seus horários. Aguardo um retorno e agradeço a atenção",Linha 342 sem observância de intervalos
 17/12/17 às 13h58,ID: 31354697,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/onibus-com-pernilongos-na-janela-valor-da-passagem-abusiva-onibus-superlo_1NnMuwi1h8hqvtN2/, São Bernardo do Campo - SP,"Essa empresa, desde que passou a gerir a baixada santista falta com o respeito ao consumidor, sou Professor e preciso pegar esse ônibus no Terminal Tude Bastos, lá pego o ônibus número 17 que vai até a Vila Tupi, infestado de pernilongos, sou obrigado a usar uma camisa de manga longa e calça em pleno calor, sem contar o repelente... Ônibus com pernilongos na janela por várias vezes, não se preocupam em detetizar esses ônibus, parece que só o lucro interessa essa empresa, sem contar  o valor da passagem abusivo, (quase 5 reais) cada condução, os ônibus superlotados, e sem ar condicionado... Espero que tenham um poiuco de respeito aos clientes (passageiros que precisam pegar esse ônibus para trabalhar)","Ônibus com pernilongos na janela, valor da passagem abusiva, ônibus superlotados, e sem ar condicionado"
 14/12/17 às 10h49,ID: 31258179,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/mudanca-no-trajeto_LjlLii40cEkSjg8-/, Paulínia - SP,"Ônibus da linha 604 e 605 (Paulínia/Campinas), teve alteração onde irão entrar dentro do terminal metropolitano de Campinas, que foi desativado um ponto do qual é principal na Rua Onze de Agosto, próximo a Campos Sales e Treze de Maio, que temos que andar até 20 minutos para o ponto de ônibus mais próximo.Tem outro detalhe que se entrar no ônibus antes do terminal metropolitano, temos que descer do ônibus e pagar outra passagem para ir embora para Paulínia, que alegam ser o ponto final no terminal metropolitano, desta forma obriga o passageiro a descer antes do terminal, devido a cobrança novamente dá passagem para continuar o trajeto no ônibus.Enfim não beneficia quem utiliza os ônibus que pagamos o valor de r$4,30, supondo que precise descer no ponto dá General Osório, que fica depois de uns 10 minutos do terminal metropolitano, é obrigado a pagar novamente a passagem para descer onde precisa.Desejo que seja tomada as providências já que está mudança no itinerário não beneficia em nada o passageiro.",Mudança  no trajeto
 07/08/17 às 16h46,ID: 27990235,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/revalidacao-do-passe-livre_Dh1elAmZzW35D_eU/, Guarulhos - SP,"No dia 24/07, solicitei a revalidação do meu passe livre, efetuei o pagamento da taxa, e enviei o comprovante de endereço (conta de banco conforme orientação no site da EMTU o comprovante seria valido), no dia 26/07 foi indeferido meu comprovante de endereço solicitando que enviasse uma declaração de terceiro com a cópia do RG, nesse da minha sogra. Enviei no dia 28/07, e até o exato momento consta o status como ""aguardando analise da documentação"", gostaria de saber qual a dificuldade de analisar uma simples declaração? Minhas aulas já iniciaram e estou sem ir para faculdade pq a EMTU não libera meu passe livre, direito meu adquirido com base da legislação vigente. Nos anos anteriores não tinha essa palhaça de envio de documentação, até porque basta a rematricula da faculdade que é enviado pela instituição de ensino, impossibilitando assim fraudes, mas como sempre a EMTU adora burocratizar o sistema dificultando assim a vida acadêmica dos estudantes. É por conta disso que o país está um caos, porque quando se fala de educação os órgão fazem questão de barrar aqueles que querem melhorar de vida. Na hora de emitirem o boleto para pagamento eles são super rápidos, mas na hora de liberar.... É um absurdo o prazo de análise de 15 dia ÚTEIS que eles dão, ou seja, vou perder 15 dias de aulas? espero que seja resolvido o problema para que eu não tenha que solicitar uma LIMINAR perante ao poder judiciário de São Paulo.",REVALIDAÇÃO DO PASSE LIVRE
 29/06/17 às 14h00,ID: 27158269,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/motorista-da-emtu-cometendo-infracoes-de-transito-previstas-por-lei_wuVkIKTCAssXoLr7/, Itapevi - SP,"Na terça feira dia 27/11/2017 indo ao trabalho pego ônibus que faz a linha 313 Itapevi (Divisa de São Roque) / Santana de Parnaíba (Residencial Burle Marx) Via Itapevi (Centro) Veículo: 27 337  PLACA: DCP 8523 BARUERI-SP por volta de 09:45 am no ponto ao lado do Hospital Nova Vida.Quando o motorista estava fazendo o trajeto  Via de Acesso João de Góes, Jardim Alvorada, Jandira - SP é alertado por outro ônibus que o pneu estava furado e apresentando risco,o mesmo avisa a cobradora sobre o ocorrido e que iria prosseguir viagem, ( sendo que o procedimento correto seria desembarcar os passageiros e esperar pelo próximo ônibus para dar continuidade ao trajeto).O motorista nos colocou em várias situações de risco proibidas por leis de trânsito, VÁRIAS VEZES MEXENDO AO CELULAR E DIRECIONANDO O VOLANTE COM APENAS UMAS DAS MÃOS!!! ORGANIZANDO CARTÕES DE DENTRO DA SUA CARTEIRA SEM AO MENOS PRESTAR ATENÇÃO NO TRÂNSITO, E FAZENDO LEITURA DE UM CADERNO DE ANOTAÇÕES COMO INFRAÇÃO SEGUINTE E QUASE ESBARRANDO NO GUARDRAILS ( Barreira de proteção que estabelece os limites da pista ) Na A Rodovia Presidente Castelo Branco (SP-280, também denominada BR-374) Eu estava no banco de frente a cobradora e observando todas as infrações do motorista e comecei a me irritar e me preocupar o e ônibus  bambeando para todos os lados  devido ao pneu furado e a falta de atenção do motorista, comecei a tirar fotos do mesmo que foi avisado pela cobradora que eu estava registrando o ocorrido e o mesmo deu risada e debochou de minha cara, paguei a passagem em silêncio e observando  a cara de sarcasmo da cobradora, desci no meu ponto de frente ao AlphaShopping em Alphaville e tirei foto da placa citada acima. Gostaria de uma medida cabível para que o motorista seja cobrado de suas atitudes e infrações previstas por leis de trânsito, pois ali dentro daquele automóvel havia muitos usuários de transporte público correndo risco de vida no qual o motorista estava colocando a todos ! E no dia de hoje 29/06/2017 O MESMO MOTORISTA NÃO PARAVA DE CONVERSAR COM UM RAPAZ E DESATENTO NOVAMENTE AO TRÂNSITO DENTRO DO TRAJETO DE JANDIRA, CONVERSA EM TOM DE VOZ MUITO ALTERADO E CAUSANDO DESCONFORTO AOS DEMAIS USUÁRIOS PELO TOM DE CONVERSA MUITO ALTO ! Se nada for resolvido estarei entrando com medidas judiciais previstas por lei sobre as infrações do mesmo com provas incontestáveis pois uso essa linha no meu dia-a-dia e horário.",Motorista da EMTU cometendo Infrações de trânsito previstas por lei.
 22/02/17 às 11h26,ID: 24430807,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/demora-pra-analise-de-documentos_C-HvqdkkfDHMjA-_/, Praia Grande - SP,"Possuo o beneficio de passe livre desde o ano passado, quando fui renovar esse ano (2017) os mesmos não aceitam meus documentos dizendo que estão errados. Moro com os meus avós e por isso mandei o comprovante de residencia do mesmo, anexado também com os documentos que exigem para  a utilização de comprovantes de terceiros porém, não sei o que acontece, mas eles não o aceitam, dizem que não receberam ou que não está de acordo. Quando envio email pro sac, eles me respondem com uma mensagem genérica que não esclarece nada. Do dia que solicitei a renovação, até hoje passaram-se  35 dias e continuo no aguardo.",Demora pra análise de documentos
 01/08/16 às 19h28,ID: 20085433,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/indignacao_Xg5dqAnGa_pkYc3C/, Diadema - SP,"Boa noite, um absurdo o estado desses trolebus  um forno o onibus parece que vai desmontar a qualquer momento...um barulho infernal...o preço e um do maiores do transportes publico e ainda assim  é zero na qualidade  e prestação de serviço....Gostaria de uma  atenção da Metra a este assunto...Uma falta de respeito com o trabalhador que além de pegar estes lotados ainda tem que ficar com o barulho e o calor ... Pagamos Por este serviço o minimo que poderia ser feito seria melhorar este transporte .",Indignacao
